image_name,vehicle_class,start_date,expiry_date,confidence,rotation_angle
374037.jpg,A1,23.08.2011,07.11.2027,0.994849681854248,0
374037.jpg,A,23.08.2011,07.11.2027,0.9979191422462463,0
374037.jpg,B1,23.08.2011,07.11.2027,0.9828476905822754,0
374037.jpg,B,23.08.2011,07.11.2027,0.9867540001869202,0
374037.jpg,C1,,,0.9928487539291382,0
374037.jpg,C,,,0.7144761085510254,0
374037.jpg,CE,,,0.997434139251709,0
374037.jpg,D1,,,0.9963678121566772,0
374037.jpg,D,,,0.9974621534347534,0
374037.jpg,DE,,,0.9989616870880127,0
374037.jpg,G1,23.08.2011,07.11.2027,0.9972686767578125,0
374037.jpg,G,,,0.9938890933990479,0
374037.jpg,J,,,0.9526366591453552,0
374036.jpg,A1,08.12.2014,18.07.2031,0.9970327615737915,270
374036.jpg,A,08.12.2014,18.07.2031,0.99893718957901,270
374036.jpg,B1,08.12.2014,18.07.2031,0.9879448413848877,270
374036.jpg,B,23.02.2023,18.07.2031,0.980633556842804,270
374036.jpg,C1,,,0.9940277338027954,270
374036.jpg,C,,,0.8408364057540894,270
374036.jpg,CE,,,0.9973396062850952,270
374036.jpg,D1,,,0.9962581396102905,270
374036.jpg,D,,,0.9973439574241638,270
374036.jpg,DE,,,0.9983386397361755,270
374036.jpg,G1,08.12.2014,18.07.2031,0.9988265037536621,270
374036.jpg,G,,,0.9963602423667908,270
374036.jpg,J,,,0.9864431619644165,270
374035.jpg,A1,28.10.2021,28.10.2029,0.998333752155304,90
374035.jpg,A,28.10.2021,28.10.2029,0.9991002082824707,90
374035.jpg,B1,28.10.2021,28.10.2029,0.9954659938812256,90
374035.jpg,B,28.10.2021,28.10.2029,0.9904705286026001,90
374035.jpg,C1,,,0.9966263175010681,90
374035.jpg,C,,,0.817739725112915,90
374035.jpg,CE,,,0.9961211681365967,90
374035.jpg,D1,,,0.9980142116546631,90
374035.jpg,D,,,0.9974729418754578,90
374035.jpg,DE,,,0.9985634684562683,90
374035.jpg,G1,28.10.2021,28.10.2029,0.9982761144638062,90
374035.jpg,G,,,0.9964874982833862,90
374035.jpg,J,,,0.9907630085945129,90
374034.jpg,A1,05.01.2018,05.01.2026,0.9970775842666626,0
374034.jpg,A,,,0.9991480112075806,0
374034.jpg,B1,05.01.2018,05.01.2026,0.99323570728302,0
374034.jpg,B,05.01.2018,05.01.2026,0.9898365139961243,0
374034.jpg,C1,,,0.9888868927955627,0
374034.jpg,C,05.01.2018,05.01.2026,0.9880450069904327,0
374034.jpg,CE,,,0.9967474937438965,0
374034.jpg,D1,,,0.9970065355300903,0
374034.jpg,D,,,0.996322751045227,0
374034.jpg,DE,,,0.9987505674362183,0
374034.jpg,G1,05.01.2018,05.01.2026,0.9312745928764343,0
374034.jpg,G,,,0.9943174719810486,0
374034.jpg,J,,,0.0,0
374033.jpg,A1,18.12.2012,25.01.2029,0.9949911236763,270
374033.jpg,A,18.12.2012,25.01.2029,0.9984513521194458,270
374033.jpg,B1,18.12.2012,25.01.2029,0.7753480672836304,270
374033.jpg,B,,,0.0,270
374033.jpg,C1,,,0.0,270
374033.jpg,C,,,0.0,270
374033.jpg,CE,,,0.9953343272209167,270
