image_name,vehicle_class,start_date,expiry_date,confidence,rotation_angle
374037.jpg,A1,23.08.2011,07.11.2027,0.9948497414588928,0
374037.jpg,A,23.08.2011,07.11.2027,0.9979191422462463,0
374037.jpg,B1,23.08.2011,07.11.2027,0.9828477501869202,0
374037.jpg,B,23.08.2011,07.11.2027,0.9867540001869202,0
374037.jpg,C1,,,0.9928488731384277,0
374037.jpg,C,,,0.7144759297370911,0
374037.jpg,CE,,,0.9974340200424194,0
374037.jpg,D1,,,0.9963676929473877,0
374037.jpg,D,,,0.997462272644043,0
374037.jpg,DE,,,0.9989615678787231,0
374037.jpg,G1,23.08.2011,07.11.2027,0.997268557548523,0
374037.jpg,G,,,0.9938889741897583,0
374037.jpg,J,,,0.9526363611221313,0
374036.jpg,A1,08.12.2014,18.07.2031,0.997032642364502,270
374036.jpg,A,08.12.2014,18.07.2031,0.9989370703697205,270
374036.jpg,B1,08.12.2014,18.07.2031,0.9879447817802429,270
374036.jpg,B,23.02.2023,18.07.2031,0.9806336760520935,270
374036.jpg,C1,,,0.9940274953842163,270
374036.jpg,C,,,0.8408363461494446,270
374036.jpg,CE,,,0.9973395466804504,270
374036.jpg,D1,,,0.9962581396102905,270
374036.jpg,D,,,0.9973440766334534,270
374036.jpg,DE,,,0.9983386397361755,270
374036.jpg,G1,08.12.2014,18.07.2031,0.9988265037536621,270
374036.jpg,G,,,0.9963601231575012,270
374036.jpg,J,,,0.9864431619644165,270
374035.jpg,A1,28.10.2021,28.10.2029,0.998333752155304,90
374035.jpg,A,28.10.2021,28.10.2029,0.9991002082824707,90
374035.jpg,B1,28.10.2021,28.10.2029,0.9954660534858704,90
374035.jpg,B,28.10.2021,28.10.2029,0.9904705286026001,90
374035.jpg,C1,,,0.9966262578964233,90
374035.jpg,C,,,0.8177396655082703,90
374035.jpg,CE,,,0.9961211681365967,90
374035.jpg,D1,,,0.9980143308639526,90
374035.jpg,D,,,0.9974729418754578,90
374035.jpg,DE,,,0.9985634684562683,90
374035.jpg,G1,28.10.2021,28.10.2029,0.9982761144638062,90
374035.jpg,G,,,0.9964876174926758,90
374035.jpg,J,,,0.9907630085945129,90
374034.jpg,A1,05.01.2018,05.01.2026,0.997077465057373,0
374034.jpg,A,,,0.9991481304168701,0
374034.jpg,B1,05.01.2018,05.01.2026,0.9932355880737305,0
374034.jpg,B,05.01.2018,05.01.2026,0.9898366332054138,0
374034.jpg,C1,,,0.9888901114463806,0
374034.jpg,C,05.01.2018,05.01.2026,0.9880449771881104,0
374034.jpg,CE,,,0.9967473745346069,0
374034.jpg,D1,,,0.9970065355300903,0
374034.jpg,D,,,0.9963228702545166,0
374034.jpg,DE,,,0.9987505674362183,0
374034.jpg,G1,05.01.2018,05.01.2026,0.9312744140625,0
374034.jpg,G,,,0.9943177103996277,0
374034.jpg,J,,,0.0,0
374033.jpg,A1,18.12.2012,25.01.2029,0.9949910640716553,270
374033.jpg,A,18.12.2012,25.01.2029,0.9984514713287354,270
374033.jpg,B1,18.12.2012,25.01.2029,0.7753456830978394,270
374033.jpg,B,,,0.0,270
374033.jpg,C1,,,0.0,270
374033.jpg,C,,,0.0,270
374033.jpg,CE,,,0.995334267616272,270
374033.jpg,D1,18.12.2012,25.01.2029,0.9941606521606445,270
374033.jpg,D,,,0.0,270
374033.jpg,DE,,,0.0,270
374033.jpg,G1,,,0.0,270
